Adnams East Green Keg,1.8
Konig Pilsner Keg,2.7
Allbright Ale Keg,1.4
Angry Orchard Cider,2.2
Angry Orchard Rose Cider,2.2
Bass Mild XXX Keg,1.4
Bavaria Premium Pilsner,2.29
Budweiser Budvar Dark,2.6
Brewgooder Clean Water Lager Keg,2.8
Belhaven East Coast IPA Keg,1.2
Belhaven Black Keg,1.1
Biagio Lager,2.2
Black Isle Blonde Keg,1.1
Black Isle Goldeneye Keg,1.1
Black Isle Red Kite Keg,1.1
Birra Morena Lager,2.5
Charles Wells All Day IPA Keg,2.6
Charles Wells Dry Hopped Lager Keg,2.13
Charles Wells Eagle Smooth,0.93
Charles Wells Tripple Hopped IPA Keg,2.13
Carling Zest Spiced Orange Keg,2.3
Carling Zest Keg,2.3
Directors Bitter Cask,1.3
Dogfish DNA,2.2
Erdinger Dark Heffeweissen,2.7
Erdinger Keg,3.25
Felinfoel,2.7
Friels Vintage,2
Fruli Strawberry White Beer,2.2
Bacchus Kriek,2.7
Draught Bass Cask,1
Black Rat Cider,2.3
Brains Dark Cask,1
Brains Bitter Cask,1
Briton Electric IPA,2.4
Briska Pear Cider,2.3
Black Sheep 54 Degrees North Keg,2.2
Brains SA Cask,1
Brains SA Gold Cask,1
Goose Island Keg Line,2.35
Greene King IPA Keg,1.2
Ice Breaker,2.2
Greene King IPA Extra Cold,1.2
Cromarty Happy Chappy Keg,1.1
Healeys Gold Cornish Cider,2.3
Hofmeister Helles,2.65
Hidden Lane TA Pale Ale,2.5
Hidden Lane TR High Pale Ale,2.5
Hofbrau Export Keg,2.7
Hofbrau Premium Keg,2.7
Innis & Gunn Lager,2.6
Fyne Ales Jarl Keg,1.1
Jupiler Blue Extra Cold,2.35
John Smiths Bitter Cask,1
Jubel Elderflower,2.6
Jubel Grapefruit,2.6
Kaliber Keg,2.2
Kuppers Kolsch Keg,2.2
Kona Longboard Island Lager Keg,2.3
Pilot Koln Keg,1.1
Korev Lager Keg,2.2
Kustome Lager Keg,2.2
LCL Pils,2.4
Lees Manchester Pale Ale Keg,1
Fader IPA,2.45
Palmers Brewery Cask,0.9
Palm Lager,2.3
Paulaner Munich Lager Keg,2.3
Pilot Blond Keg,1.1
Pistonhead Lager Keg,2.2
Poundhouse Cider Keg,2.3
Rekorderlig Apple Cider Extra Cold,2.3
Rattler,2
Rekorderlig Apple Cider Keg,2.3
Rekorderlig Pear Cider Keg,2.3
Rekorderlig Strawberry & Lime Keg,2.3
Rekorderlig Wild Berries Keg,2.3
Robinsons Smooth Bitter,1
Ruddles Best Bitter Keg,1.1
Ruddles Smooth Keg,1.1
Brains Rev James Cask,1
Samuel Adams Lager Keg,2.35
Sam 76,2.35
Stowford Press Cider,2
Smithwicks Irish Ale Keg,4.2
Devon Mist,2.2
Devon Red,2.2
Fanny Bramble,2.2
Spitfire Keg,1.1
Spitfire Smooth Keg,1.1
Staropramen 5% Keg,2.2
Tartan Bitter Keg,1.57
Theakstons Black Bull Cask,0.9
Mansfield Original Keg,1.2
Mansfield Smooth Creamy Keg,1.2
Munchen Lager Keg,2.2
Other Cider Keg - See Notes,2.3
McEwans 80/- Cask,1.1
Miller Beer Keg,2.2
Theakston Best Cask,0.9
Inveralmond Thrappledouser Keg,1.1
Theakston Mild Cask,0.9
Theakstons Old Peculier Cask,0.9
Theakstons XB Cask,0.9
Butcombe Veltins Lager,2.8
Bayside Welsh Lager Krg,2.25
M&B Brew XI Keg,1
Camerons Creamy Keg,1
Camerons Export Lager Keg,2.15
Cains Finest Lager,2.7
Camden Gentlemans Wit Keg,2.35
Liverpool Lager,2.2
Camerons Strongarm Keg,1
Camden Pils Keg,2.2
Camden Off Menu IPA,1.5
Camden Pale Ale Keg,1.5
Camden Pils,2.5
Camerons Scorpion,2.2
Courage Best Bitter Cask,1.2
Cold Bath Lager,2.2
Carling British Cider Black Fruits Keg,2.6
Carling British Cider,2.6
Carling Premier Keg,1.3
Caffreys Extra Cold Keg,1
Cobra Malabar Blond IPA Keg,2.1
Alechemy Citra Burst IPA Keg,1.1
Cobra Extra Cold Keg,2.1
Cobra Keg,2.1
Maclachlan's,1.05
Madri,2.3
Mallets Apple Cider,2.35
M&B Mild Keg,1.2
Oldham Bitter Smooth,1
Orkney Brewery Orkney Gold,2.5
Oranjeboom,2.3
Robinsons Trooper,2.2
Taunton Special Vat Keg,2.3
Hopical Storm,2.5
Thwaites Daniel's,2.2
Tomos Watkin Pale Rider Pale Ale Keg,1.1
Tomos Watkin Two Guns Lager Keg,2.8
Wards Smooth Bitter,1
Williams Bros Black Ball Stout Keg,1.1
Williams Bros Ceasar Augustus Keg,2.2
Williams Bros Draught Lager Keg,2.8
Westons Mulled Cider,2.3
Green Label Cask,1
